id,name,breed,age,route,weight_lbs,pack_capacity_lbs,trips_completed,certification_level,years_experience,health_score,temperament,last_trip_date,days_rested,preferred_terrain,daily_rate,total_revenue_ytd,customer_rating,maintenance_cost_ytd,miles_ytd,elevation_gain_ytd
41,Ares,Nubian,5,3,230,62,180,Expert,4,8,Energetic,2026-01-24,4,Alpine,56,2464,4.4,570,1080,97200
42,Odin,Nubian,6,3,240,65,220,Expert,5,6,Strong,2026-01-26,2,Alpine,61,3050,4.7,635,1320,118800
43,Thor,Nubian,4,3,222,60,142,Advanced,3,8,Vocal,2026-01-22,6,Alpine,50,2050,4.5,520,852,76680
44,Loki,Nubian,5,3,226,61,176,Expert,4,7,Energetic,2026-01-28,0,Alpine,55,2365,4.8,575,1056,95040
45,Freya,Nubian,6,3,238,65,218,Expert,5,7,Calm,2026-01-25,3,Alpine,60,2940,4.9,610,1308,117720
46,Valkyrie,Nubian,4,3,216,58,136,Advanced,3,9,Energetic,2026-01-27,1,Alpine,48,1920,4.6,505,816,73440
47,Ranger,Nubian,5,3,234,64,190,Expert,4,7,Vocal,2026-01-24,4,Alpine,58,2668,4.5,600,1140,102600
48,Scout,Nubian,6,3,244,66,228,Expert,5,6,Energetic,2026-01-26,2,Alpine,63,3150,4.7,645,1368,123120
49,Hunter,Nubian,4,3,210,56,130,Advanced,3,8,Strong,2026-01-23,5,Alpine,46,1840,4.4,500,780,70200
50,Tracker,Nubian,5,3,229,62,184,Expert,4,8,Vocal,2026-01-28,0,Alpine,56,2576,4.8,585,1104,99360
51,Summit,Nubian,6,3,246,67,232,Expert,5,6,Energetic,2026-01-25,3,Alpine,64,3264,4.6,655,1392,125280
52,Peak,Nubian,4,3,214,58,134,Advanced,3,8,Strong,2026-01-27,1,Alpine,47,1927,4.9,515,804,72360
53,Ridge,Nubian,5,3,231,63,186,Expert,4,7,Vocal,2026-01-24,4,Alpine,57,2565,4.5,590,1116,100440
54,Cliff,Nubian,6,3,243,66,226,Expert,5,7,Energetic,2026-01-26,2,Alpine,62,3100,4.7,630,1356,122040
55,Boulder,Nubian,4,3,219,59,139,Advanced,3,8,Strong,2026-01-22,6,Alpine,49,1960,4.4,525,834,75060
56,Rocky,Nubian,5,3,233,63,187,Expert,4,7,Vocal,2026-01-28,0,Alpine,57,2622,4.8,595,1122,100980
57,Stone,Nubian,6,3,247,67,233,Expert,5,6,Energetic,2026-01-25,3,Alpine,64,3328,4.6,660,1398,125820
58,Granite,Nubian,4,3,221,60,141,Advanced,3,9,Strong,2026-01-27,1,Alpine,50,2000,4.9,510,846,76140
59,Slate,Nubian,5,3,227,61,178,Expert,4,8,Vocal,2026-01-24,4,Alpine,55,2420,4.5,580,1068,96120
60,Flint,Nubian,6,3,241,65,222,Expert,5,6,Energetic,2026-01-26,2,Alpine,61,3111,4.7,640,1332,119880
61,Pebbles,Saanen,1,1,148,38,18,Beginner,0,10,Docile,2026-01-25,3,Valley,22,330,4.3,280,72,3600
62,Bubbles,Saanen,1,1,152,39,22,Intermediate,0,10,Calm,2026-01-28,0,Valley,24,384,4.5,290,88,4400
63,Giggles,Saanen,2,1,162,42,52,Intermediate,1,9,Docile,2026-01-26,2,Valley,28,840,4.6,320,208,10400
64,Wiggles,Saanen,1,1,150,39,20,Beginner,0,10,Calm,2026-01-24,4,Valley,23,345,4.4,285,80,4000
65,Snuggles,Saanen,2,1,165,43,58,Intermediate,1,9,Docile,2026-01-27,1,Valley,29,928,4.7,330,232,11600
66,Cuddles,Saanen,1,1,146,38,16,Beginner,0,10,Calm,2026-01-23,5,Valley,21,294,4.2,275,64,3200
67,Noodles,Saanen,2,1,160,41,48,Intermediate,1,9,Docile,2026-01-28,0,Valley,27,783,4.8,315,192,9600
68,Doodles,Saanen,1,1,154,40,24,Intermediate,0,10,Calm,2026-01-25,3,Valley,24,408,4.5,295,96,4800
69,Sprinkles,Saanen,2,1,168,44,62,Intermediate,1,9,Docile,2026-01-26,2,Valley,30,990,4.6,335,248,12400
70,Twinkles,Saanen,1,1,149,38,19,Beginner,0,10,Calm,2026-01-24,4,Valley,22,352,4.4,282,76,3800
71,Sparkles,Saanen,2,1,163,42,54,Intermediate,1,10,Docile,2026-01-27,1,Valley,28,868,4.9,325,216,10800
72,Dimples,Saanen,1,1,151,39,21,Intermediate,0,10,Calm,2026-01-22,6,Valley,23,368,4.3,288,84,4200
73,Ripples,Saanen,2,1,166,43,56,Intermediate,1,9,Docile,2026-01-28,0,Valley,29,899,4.7,328,224,11200
74,Pickles,Saanen,1,1,147,38,17,Beginner,0,10,Calm,2026-01-25,3,Valley,21,315,4.5,278,68,3400
75,Freckles,Saanen,2,1,161,42,50,Intermediate,1,9,Docile,2026-01-26,2,Valley,27,810,4.6,318,200,10000
76,Buttons,Saanen,1,1,153,40,23,Intermediate,0,10,Calm,2026-01-24,4,Valley,24,384,4.4,292,92,4600
77,Mittens,Saanen,2,1,167,44,60,Intermediate,1,9,Docile,2026-01-27,1,Valley,30,960,4.8,332,240,12000
78,Biscuit,Saanen,1,1,148,38,18,Beginner,0,10,Calm,2026-01-23,5,Valley,22,330,4.3,280,72,3600
79,Cookie,Saanen,2,1,164,43,55,Intermediate,1,9,Docile,2026-01-28,0,Valley,29,870,4.7,326,220,11000
80,Muffin,Saanen,1,1,150,39,20,Beginner,0,10,Calm,2026-01-25,3,Valley,23,345,4.5,285,80,4000
81,Waffles,Saanen,2,1,169,44,64,Intermediate,1,9,Docile,2026-01-26,2,Valley,30,1020,4.6,338,256,12800
82,Pancake,Saanen,1,1,152,39,22,Intermediate,0,10,Calm,2026-01-24,4,Valley,24,384,4.4,290,88,4400
83,Honey,Saanen,2,1,162,42,52,Intermediate,1,10,Docile,2026-01-27,1,Valley,28,840,4.9,320,208,10400
84,Sugar,Saanen,1,1,146,38,16,Beginner,0,10,Calm,2026-01-22,6,Valley,21,294,4.2,275,64,3200
85,Sweetie,Saanen,2,1,165,43,58,Intermediate,1,9,Docile,2026-01-28,0,Valley,29,928,4.8,330,232,11600
86,Candy,Saanen,1,1,149,38,19,Beginner,0,10,Calm,2026-01-25,3,Valley,22,352,4.5,282,76,3800
87,Taffy,Saanen,2,1,160,41,48,Intermediate,1,9,Docile,2026-01-26,2,Valley,27,783,4.6,315,192,9600
88,Marshmallow,Saanen,1,1,154,40,24,Intermediate,0,10,Calm,2026-01-24,4,Valley,24,408,4.4,295,96,4800
89,Jellybean,Saanen,2,1,168,44,62,Intermediate,1,9,Docile,2026-01-27,1,Valley,30,990,4.7,335,248,12400
90,Gumdrop,Saanen,1,1,151,39,21,Intermediate,0,10,Calm,2026-01-23,5,Valley,23,368,4.3,288,84,4200
91,Ace,Boer,3,2,225,62,95,Advanced,2,8,Steady,2026-01-28,0,Mountain,44,1760,4.6,480,475,35625
92,Duke,Boer,4,2,248,68,130,Advanced,3,8,Strong,2026-01-26,2,Mountain,50,2050,4.5,530,650,48750
93,King,Boer,3,2,230,63,98,Advanced,2,9,Steady,2026-01-25,3,Mountain,45,1800,4.8,490,490,36750
94,Prince,Boer,4,2,252,69,135,Advanced,3,8,Strong,2026-01-27,1,Mountain,51,2142,4.6,540,675,50625
95,Baron,Boer,3,2,222,61,92,Advanced,2,8,Steady,2026-01-24,4,Mountain,43,1677,4.4,475,460,34500
96,Earl,Boer,4,2,245,67,128,Advanced,3,9,Strong,2026-01-28,0,Mountain,49,1960,4.7,525,640,48000
97,Knight,Boer,3,2,228,62,96,Advanced,2,8,Steady,2026-01-26,2,Mountain,44,1760,4.5,485,480,36000
98,Captain,Boer,4,2,250,68,132,Advanced,3,8,Strong,2026-01-25,3,Mountain,50,2100,4.8,535,660,49500
99,Major,Boer,3,2,232,64,100,Advanced,2,9,Steady,2026-01-27,1,Mountain,45,1845,4.6,495,500,37500
100,Colonel,Boer,4,2,255,70,138,Advanced,3,8,Strong,2026-01-24,4,Mountain,52,2184,4.4,545,690,51750
101,General,Boer,3,2,220,60,90,Advanced,2,8,Steady,2026-01-28,0,Mountain,42,1638,4.7,470,450,33750
102,Admiral,Boer,4,2,246,67,129,Advanced,3,9,Strong,2026-01-26,2,Mountain,49,1960,4.5,528,645,48375
103,Chief,Boer,3,2,226,62,94,Advanced,2,8,Steady,2026-01-25,3,Mountain,44,1716,4.8,482,470,35250
104,Boss,Boer,4,2,251,69,134,Advanced,3,8,Strong,2026-01-27,1,Mountain,51,2091,4.6,538,670,50250
105,Leader,Boer,3,2,224,61,93,Advanced,2,8,Steady,2026-01-24,4,Mountain,43,1677,4.4,478,465,34875
106,Commander,Boer,4,2,248,68,131,Advanced,3,9,Strong,2026-01-28,0,Mountain,50,2050,4.7,532,655,49125
107,Marshal,Boer,3,2,229,63,97,Advanced,2,9,Steady,2026-01-26,2,Mountain,45,1755,4.5,488,485,36375
108,Sheriff,Boer,4,2,253,69,136,Advanced,3,8,Strong,2026-01-25,3,Mountain,51,2142,4.8,542,680,51000
109,Deputy,Boer,3,2,221,60,91,Advanced,2,8,Steady,2026-01-27,1,Mountain,42,1638,4.6,472,455,34125
110,Ranger2,Boer,4,2,247,67,130,Advanced,3,8,Strong,2026-01-24,4,Mountain,49,1960,4.4,530,650,48750
111,Trooper,Boer,3,2,227,62,95,Advanced,2,9,Steady,2026-01-28,0,Mountain,44,1760,4.7,484,475,35625
112,Sergeant,Boer,4,2,254,70,137,Advanced,3,9,Strong,2026-01-26,2,Mountain,52,2132,4.5,544,685,51375
113,Corporal,Boer,3,2,223,61,93,Advanced,2,8,Steady,2026-01-25,3,Mountain,43,1677,4.8,476,465,34875
114,Private,Boer,4,2,249,68,133,Advanced,3,8,Strong,2026-01-27,1,Mountain,50,2100,4.6,536,665,49875
115,Cadet,Boer,3,2,218,60,88,Advanced,2,8,Steady,2026-01-24,4,Mountain,41,1599,4.4,465,440,33000
116,Recruit,Boer,4,2,244,67,127,Advanced,3,8,Strong,2026-01-28,0,Mountain,48,1920,4.7,522,635,47625
117,Veteran,Boer,3,2,231,63,99,Advanced,2,9,Steady,2026-01-26,2,Mountain,45,1800,4.5,492,495,37125
118,Champion,Boer,4,2,256,70,140,Advanced,3,9,Strong,2026-01-25,3,Mountain,53,2226,4.9,548,700,52500
119,Victor,Boer,3,2,225,62,95,Advanced,2,8,Steady,2026-01-27,1,Mountain,44,1760,4.6,480,475,35625
120,Winner,Boer,4,2,250,68,132,Advanced,3,8,Strong,2026-01-24,4,Mountain,50,2100,4.4,535,660,49500
121,Flash,LaMancha,2,2,135,36,48,Intermediate,1,9,Curious,2026-01-28,0,Mountain,30,960,4.6,340,240,18000
122,Dash,LaMancha,3,2,145,39,82,Advanced,2,8,Quick,2026-01-26,2,Mountain,36,1296,4.5,380,410,30750
123,Zoom,LaMancha,2,2,138,37,52,Intermediate,1,9,Curious,2026-01-25,3,Mountain,31,1023,4.8,348,260,19500
124,Swift,LaMancha,3,2,148,40,86,Advanced,2,9,Quick,2026-01-27,1,Mountain,37,1369,4.6,388,430,32250
125,Quick,LaMancha,2,2,132,35,45,Intermediate,1,10,Curious,2026-01-24,4,Mountain,29,899,4.4,335,225,16875
126,Rapid,LaMancha,3,2,142,38,78,Advanced,2,8,Quick,2026-01-28,0,Mountain,35,1225,4.7,375,390,29250
127,Speedy,LaMancha,2,2,136,36,50,Intermediate,1,9,Curious,2026-01-26,2,Mountain,30,990,4.5,345,250,18750
128,Turbo,LaMancha,3,2,146,39,84,Advanced,2,8,Quick,2026-01-25,3,Mountain,36,1332,4.8,382,420,31500
129,Nitro,LaMancha,2,2,140,38,54,Intermediate,1,9,Curious,2026-01-27,1,Mountain,32,1056,4.6,352,270,20250
130,Bolt,LaMancha,3,2,150,41,90,Advanced,2,9,Quick,2026-01-24,4,Mountain,38,1444,4.4,392,450,33750
131,Arrow,LaMancha,2,2,133,35,46,Intermediate,1,10,Curious,2026-01-28,0,Mountain,29,928,4.7,338,230,17250
132,Bullet,LaMancha,3,2,144,39,80,Advanced,2,8,Quick,2026-01-26,2,Mountain,35,1260,4.5,378,400,30000
133,Comet,LaMancha,2,2,137,37,51,Intermediate,1,9,Curious,2026-01-25,3,Mountain,31,992,4.8,346,255,19125
134,Meteor,LaMancha,3,2,147,40,85,Advanced,2,8,Quick,2026-01-27,1,Mountain,37,1332,4.6,385,425,31875
135,Streak,LaMancha,2,2,134,36,47,Intermediate,1,9,Curious,2026-01-24,4,Mountain,30,930,4.4,340,235,17625
136,Blitz,LaMancha,3,2,149,40,88,Advanced,2,9,Quick,2026-01-28,0,Mountain,38,1406,4.7,390,440,33000
137,Rush,LaMancha,2,2,139,37,53,Intermediate,1,9,Curious,2026-01-26,2,Mountain,32,1024,4.5,350,265,19875
138,Hurry,LaMancha,3,2,143,38,79,Advanced,2,8,Quick,2026-01-25,3,Mountain,35,1225,4.8,376,395,29625
139,Hustle,LaMancha,2,2,131,35,44,Intermediate,1,10,Curious,2026-01-27,1,Mountain,29,870,4.6,332,220,16500
140,Sprint,LaMancha,3,2,151,41,92,Advanced,2,8,Quick,2026-01-24,4,Mountain,39,1482,4.4,395,460,34500
141,Racer,LaMancha,2,2,136,36,49,Intermediate,1,9,Curious,2026-01-28,0,Mountain,30,960,4.7,345,245,18375
142,Runner,LaMancha,3,2,145,39,83,Advanced,2,9,Quick,2026-01-26,2,Mountain,36,1296,4.5,382,415,31125
143,Jogger,LaMancha,2,2,138,37,52,Intermediate,1,9,Curious,2026-01-25,3,Mountain,31,1023,4.8,348,260,19500
144,Pacer,LaMancha,3,2,148,40,87,Advanced,2,8,Quick,2026-01-27,1,Mountain,37,1369,4.6,388,435,32625
145,Strider,LaMancha,2,2,133,35,46,Intermediate,1,9,Curious,2026-01-24,4,Mountain,29,928,4.4,338,230,17250
146,Gallop,LaMancha,3,2,146,39,84,Advanced,2,9,Quick,2026-01-28,0,Mountain,36,1332,4.7,384,420,31500
147,Trot,LaMancha,2,2,140,38,55,Intermediate,1,10,Curious,2026-01-26,2,Mountain,32,1088,4.5,355,275,20625
148,Canter,LaMancha,3,2,150,41,91,Advanced,2,8,Quick,2026-01-25,3,Mountain,38,1482,4.8,392,455,34125
149,Lope,LaMancha,2,2,135,36,48,Intermediate,1,9,Curious,2026-01-27,1,Mountain,30,960,4.6,342,240,18000
150,Bound,LaMancha,3,2,144,39,81,Advanced,2,8,Quick,2026-01-24,4,Mountain,35,1260,4.4,380,405,30375
151,Shadow,Kiko,4,3,168,46,125,Advanced,3,8,Independent,2026-01-28,0,Alpine,45,1845,4.6,450,750,67500
152,Ghost,Kiko,5,3,182,50,168,Expert,4,7,Rugged,2026-01-26,2,Alpine,52,2288,4.5,510,1008,90720
153,Phantom,Kiko,4,3,172,47,128,Advanced,3,8,Independent,2026-01-25,3,Alpine,46,1886,4.8,458,768,69120
154,Spirit,Kiko,5,3,186,51,172,Expert,4,8,Rugged,2026-01-27,1,Alpine,53,2332,4.6,520,1032,92880
155,Mystic,Kiko,4,3,165,45,122,Advanced,3,9,Independent,2026-01-24,4,Alpine,44,1760,4.4,445,732,65880
156,Magic,Kiko,5,3,180,49,165,Expert,4,7,Rugged,2026-01-28,0,Alpine,51,2193,4.7,505,990,89100
157,Wizard,Kiko,4,3,170,46,126,Advanced,3,8,Independent,2026-01-26,2,Alpine,45,1845,4.5,455,756,68040
158,Merlin,Kiko,5,3,184,50,170,Expert,4,7,Rugged,2026-01-25,3,Alpine,52,2288,4.8,515,1020,91800
159,Gandalf,Kiko,4,3,175,48,130,Advanced,3,8,Independent,2026-01-27,1,Alpine,47,1927,4.6,465,780,70200
160,Dumbledore,Kiko,5,3,188,52,175,Expert,4,8,Rugged,2026-01-24,4,Alpine,54,2376,4.4,525,1050,94500
161,Raven,Kiko,4,3,166,45,123,Advanced,3,9,Independent,2026-01-28,0,Alpine,44,1760,4.7,448,738,66420
162,Crow,Kiko,5,3,181,49,166,Expert,4,7,Rugged,2026-01-26,2,Alpine,51,2193,4.5,508,996,89640
163,Hawk,Kiko,4,3,171,47,127,Advanced,3,8,Independent,2026-01-25,3,Alpine,46,1886,4.8,456,762,68580
164,Eagle,Kiko,5,3,185,51,171,Expert,4,7,Rugged,2026-01-27,1,Alpine,53,2279,4.6,518,1026,92340
165,Falcon,Kiko,4,3,168,46,124,Advanced,3,8,Independent,2026-01-24,4,Alpine,45,1800,4.4,452,744,66960
166,Osprey,Kiko,5,3,183,50,169,Expert,4,8,Rugged,2026-01-28,0,Alpine,52,2288,4.7,512,1014,91260
167,Condor,Kiko,4,3,174,48,129,Advanced,3,9,Independent,2026-01-26,2,Alpine,47,1927,4.5,462,774,69660
168,Vulture,Kiko,5,3,187,51,173,Expert,4,7,Rugged,2026-01-25,3,Alpine,53,2332,4.8,522,1038,93420
169,Owl,Kiko,4,3,167,46,124,Advanced,3,8,Independent,2026-01-27,1,Alpine,45,1800,4.6,450,744,66960
170,Nighthawk,Kiko,5,3,182,50,168,Expert,4,7,Rugged,2026-01-24,4,Alpine,52,2288,4.4,510,1008,90720
171,Midnight,Kiko,4,3,170,46,126,Advanced,3,8,Independent,2026-01-28,0,Alpine,45,1845,4.7,455,756,68040
172,Twilight,Kiko,5,3,185,51,171,Expert,4,8,Rugged,2026-01-26,2,Alpine,53,2279,4.5,518,1026,92340
173,Dusk,Kiko,4,3,169,46,125,Advanced,3,9,Independent,2026-01-25,3,Alpine,45,1845,4.8,453,750,67500
174,Dawn,Kiko,5,3,183,50,169,Expert,4,7,Rugged,2026-01-27,1,Alpine,52,2288,4.6,512,1014,91260
175,Eclipse,Kiko,4,3,173,47,128,Advanced,3,8,Independent,2026-01-24,4,Alpine,46,1886,4.4,460,768,69120
176,Solstice,Kiko,5,3,186,51,172,Expert,4,7,Rugged,2026-01-28,0,Alpine,53,2332,4.7,520,1032,92880
177,Equinox,Kiko,4,3,168,46,124,Advanced,3,8,Independent,2026-01-26,2,Alpine,45,1800,4.5,452,744,66960
178,Nebula,Kiko,5,3,184,50,170,Expert,4,8,Rugged,2026-01-25,3,Alpine,52,2288,4.8,515,1020,91800
179,Galaxy,Kiko,4,3,172,47,127,Advanced,3,9,Independent,2026-01-27,1,Alpine,46,1886,4.6,458,762,68580
180,Cosmos,Kiko,5,3,188,52,175,Expert,4,7,Rugged,2026-01-24,4,Alpine,54,2376,4.4,525,1050,94500
181,Pepper,Nigerian Dwarf,1,1,55,14,15,Beginner,0,10,Friendly,2026-01-28,0,Valley,18,252,4.5,220,60,3000
182,Salt,Nigerian Dwarf,2,1,62,16,38,Intermediate,1,9,Playful,2026-01-26,2,Valley,22,616,4.6,250,152,7600
183,Cinnamon,Nigerian Dwarf,1,1,58,15,18,Beginner,0,10,Friendly,2026-01-25,3,Valley,19,304,4.4,228,72,3600
184,Nutmeg,Nigerian Dwarf,2,1,65,17,42,Intermediate,1,9,Playful,2026-01-27,1,Valley,23,690,4.7,258,168,8400
185,Ginger,Nigerian Dwarf,1,1,54,14,14,Beginner,0,10,Friendly,2026-01-24,4,Valley,17,238,4.3,218,56,2800
186,Clove,Nigerian Dwarf,2,1,60,15,36,Intermediate,1,9,Playful,2026-01-28,0,Valley,21,567,4.8,245,144,7200
187,Basil2,Nigerian Dwarf,1,1,57,14,17,Beginner,0,10,Friendly,2026-01-26,2,Valley,18,288,4.5,225,68,3400
188,Oregano,Nigerian Dwarf,2,1,64,16,40,Intermediate,1,9,Playful,2026-01-25,3,Valley,22,660,4.6,255,160,8000
189,Rosemary2,Nigerian Dwarf,1,1,56,14,16,Beginner,0,10,Friendly,2026-01-27,1,Valley,18,270,4.4,222,64,3200
190,Thyme2,Nigerian Dwarf,2,1,63,16,39,Intermediate,1,10,Playful,2026-01-24,4,Valley,22,638,4.9,252,156,7800
191,Sage2,Nigerian Dwarf,1,1,55,14,15,Beginner,0,10,Friendly,2026-01-28,0,Valley,18,252,4.7,220,60,3000
192,Mint2,Nigerian Dwarf,2,1,61,16,37,Intermediate,1,9,Playful,2026-01-26,2,Valley,21,588,4.5,248,148,7400
193,Parsley2,Nigerian Dwarf,1,1,58,15,18,Beginner,0,10,Friendly,2026-01-25,3,Valley,19,304,4.8,228,72,3600
194,Cilantro,Nigerian Dwarf,2,1,66,17,44,Intermediate,1,9,Playful,2026-01-27,1,Valley,23,736,4.6,262,176,8800
195,Dill,Nigerian Dwarf,1,1,54,14,14,Beginner,0,10,Friendly,2026-01-24,4,Valley,17,238,4.4,218,56,2800
196,Fennel,Nigerian Dwarf,2,1,62,16,38,Intermediate,1,9,Playful,2026-01-28,0,Valley,22,616,4.7,250,152,7600
197,Anise,Nigerian Dwarf,1,1,57,14,17,Beginner,0,10,Friendly,2026-01-26,2,Valley,18,288,4.5,225,68,3400
198,Cumin,Nigerian Dwarf,2,1,64,16,41,Intermediate,1,9,Playful,2026-01-25,3,Valley,22,682,4.8,256,164,8200
199,Cardamom,Nigerian Dwarf,1,1,56,14,16,Beginner,0,10,Friendly,2026-01-27,1,Valley,18,270,4.6,222,64,3200
200,Saffron,Nigerian Dwarf,2,1,63,16,39,Intermediate,1,10,Playful,2026-01-24,4,Valley,22,638,4.4,252,156,7800
201,Turmeric,Nigerian Dwarf,1,1,55,14,15,Beginner,0,10,Friendly,2026-01-28,0,Valley,18,252,4.7,220,60,3000
202,Paprika,Nigerian Dwarf,2,1,61,16,37,Intermediate,1,9,Playful,2026-01-26,2,Valley,21,588,4.5,248,148,7400
203,Cayenne,Nigerian Dwarf,1,1,58,15,18,Beginner,0,10,Friendly,2026-01-25,3,Valley,19,304,4.8,228,72,3600
204,Chili,Nigerian Dwarf,2,1,65,17,42,Intermediate,1,9,Playful,2026-01-27,1,Valley,23,690,4.6,258,168,8400
205,Curry,Nigerian Dwarf,1,1,54,14,14,Beginner,0,10,Friendly,2026-01-24,4,Valley,17,238,4.4,218,56,2800
206,Masala,Nigerian Dwarf,2,1,60,15,36,Intermediate,1,9,Playful,2026-01-28,0,Valley,21,567,4.7,245,144,7200
207,Wasabi,Nigerian Dwarf,1,1,57,14,17,Beginner,0,10,Friendly,2026-01-26,2,Valley,18,288,4.5,225,68,3400
208,Sriracha,Nigerian Dwarf,2,1,64,16,40,Intermediate,1,9,Playful,2026-01-25,3,Valley,22,660,4.8,255,160,8000
209,Tabasco,Nigerian Dwarf,1,1,56,14,16,Beginner,0,10,Friendly,2026-01-27,1,Valley,18,270,4.6,222,64,3200
